ronda;código,equipo1;cantGoles1;cantGoles2;equipo2
1;QATAR22GC01;Argentina;1;2;Arabia Saudita
1;QATAR22GC02;Polonia;0;0;México
2;QATAR22GC03;Argentina;2;0;México
2;QATAR22GC04;Arabia Saudita;0;2;Polonia
